"ccode","county","province","eligible","Bartoszewicz","Biejat","Braun","Hołownia","Jakubiak","Maciak","Mentzen","Nawrocki","Senyszyn","Stanowski","Trzaskowski","Woch","Zandberg","eligible2","spoilt","N2","T2"
220300,"człuchowski","pomorskie",41315,130,1033,1535,1200,161,50,3921,5689,222,272,8805,13,784,40888,230,11612,13417
220400,"gdański","pomorskie",93528,301,3148,3339,4269,486,118,10368,12162,919,1051,26000,59,3737,94195,723,26314,42628
220500,"kartuski","pomorskie",107049,358,2641,5153,5042,532,146,14797,22122,832,1046,21438,88,3080,108397,768,43362,37082
220600,"kościerski","pomorskie",54287,183,1145,2443,2245,237,68,6636,11267,350,412,10306,39,1345,54500,344,21053,17203
220700,"kwidzyński","pomorskie",59140,173,1543,2133,1658,218,54,5851,9266,313,407,12201,30,1375,58523,353,18059,18863
220800,"lęborski","pomorskie",47166,157,1206,1825,1612,228,52,4820,7310,301,346,11962,20,1192,48354,278,14661,18696
220900,"malborski","pomorskie",45466,188,1390,1454,1572,171,42,4042,6185,260,335,10906,28,1159,44937,217,12310,16766
221000,"nowodworski","pomorskie",28106,74,742,1130,886,126,22,2405,4057,187,182,7027,25,708,30069,157,8524,11997
221100,"pucki","pomorskie",71552,291,2115,3001,3312,410,85,8114,11029,667,772,18277,32,2621,78070,587,24655,34302
221200,"słupski","pomorskie",72980,221,1956,2750,2203,325,64,6709,10488,427,488,17141,58,1585,73714,418,21174,27314
221300,"starogardzki","pomorskie",92860,298,2210,3823,3226,481,132,10401,18113,570,706,16477,56,2265,92564,519,33992,27396
221400,"tczewski","pomorskie",82083,246,2207,2686,2941,326,109,8533,13822,556,716,17499,54,2486,81602,532,26042,27910
221500,"wejherowski","pomorskie",164003,594,4880,6936,7530,818,224,19173,26116,1427,1799,39226,146,5910,164321,1215,53626,65539
221600,"sztumski","pomorskie",30079,86,676,895,849,78,56,2654,4362,164,196,5996,19,556,29769,204,8297,9126
226100,"Gdańsk","pomorskie",372134,1217,17730,9311,16580,1715,367,29180,47287,4790,4383,121757,229,26448,376703,3082,88205,206127
226200,"Gdynia","pomorskie",180455,630,7623,5045,7358,866,195,13246,22466,2310,1990,62516,134,9587,180890,1408,41994,97729
226300,"Słupsk","pomorskie",62188,209,1862,2105,1921,264,70,4549,9041,407,428,18188,34,1671,61774,389,16285,26590
226400,"Sopot","pomorskie",27603,91,1175,687,1009,118,32,1484,3572,343,269,10578,25,1647,29030,226,6331,16706
240100,"będziński","śląskie",111293,353,4377,3701,3520,476,136,9021,16796,911,1009,29325,69,3656,110588,765,31364,46935
240200,"bielski","śląskie",126436,446,3078,5178,5544,759,165,15593,26288,827,1183,27166,80,3888,125484,903,48269,44629
240300,"cieszyński","śląskie",135243,503,3199,5691,5435,688,185,15300,24669,924,1150,29625,91,3636,135754,919,47359,48593
